01|腹部超音波及電腦斷層發現
gi|，建議肝膽腸胃科門診追蹤檢查。
gs|，疑為痔瘡，建議大腸直腸外科門診追蹤檢查。
gsm|，建議乳房外科門診安排乳房超音波或乳房攝影檢查。
gyn|，建議婦產科門診追蹤檢查。
ld|，建議一年後低劑量肺部電腦斷層追蹤檢查。
lll|左下肺一個小結節(公分)
lu|側肺門淋巴結輕微葡萄糖攝取增加
lul|左上肺一個小結節(公分)
lum|側肺門及縱膈腔淋巴結輕微葡萄糖攝取增加
ma|側上頷竇積液，伴隨
mc|，疑為與月經週期相關之生理性變化。
mc1|側卵巢-輸卵管區和子宮腔輕度葡萄糖攝取增加
mc-1|子宮腔廣泛性輕微葡萄糖攝取增加，應為與月經週期相關之生理性變化。
mr|腦部磁振造影(MRI)
na|側鼻咽部局部輕微葡萄糖攝取增加
nan|兩側鼻咽部及頸部淋巴結葡萄糖攝取增加
nln|側上頸部小淋巴結輕度葡萄糖攝取增加
non|非特異性
nore|無顯著腫瘤轉移或復發之跡象
oc|側卵巢囊腫
psa|血液癌症腫瘤篩檢發現PSA:     ng/ml稍高(正常小於4 ng/ml)
rec|乙狀結腸-直腸廣泛性葡萄糖攝取增加
rll|右下肺一個小結節(公分)
rml|右中肺一個小結節(公分)
rul|右上肺一個小結節(公分)
s1|第五腰椎、第一薦椎
sco|，若未做過大腸鏡，可安排檢查。
sco1|，疑為腸道生理性吸收。但可能干擾潛在病灶之偵測，如兩年內未做過，建議安排大腸鏡檢查
sho|肩關節輕度葡萄糖攝取增加
sin|側上頷竇鼻竇炎。
so|，建議3-4個月後腹部超音波檢查追蹤。
sp|電腦斷層發現脊椎側彎。
sug|高血糖(空腹血糖     mg/dL)，疑似疑似糖尿病，建議內分泌科門診追蹤檢查。
th|側甲狀腺局部輕微葡萄糖攝取增加
ts|疑為慢性甲狀腺炎
ugi|，建議胃鏡比對。
uro|，建議泌尿科門診追蹤檢查。
nephro|，建議腎臟科門診追蹤檢查。
sco2|，疑為腸道生理性吸收，但可能干擾潛在病灶之偵測。
sor|，建議3-4個月後腹部超音波或腎臟超音波檢查追蹤。
lgi|，建議大腸鏡比對。
cbm|腫瘤骨轉移
clm|腫瘤淋巴轉移
chm|腫瘤肝轉移
cpm|腫瘤肺轉移
cplm|腫瘤肋膜轉移
tx|為治療之成效
